team,elo,event_wins,1_wins,2_wins,3_wins,num_seasons,event_wins_per_season
frc1583,1489,1,0,1,0,16,0.0625
frc1584,1484,1,0,1,0,16,0.0625
frc1585,1478,0,0,0,0,14,0.0
frc1590,1459,0,0,0,0,15,0.0
frc1591,1487,0,0,0,0,16,0.0
frc1592,1533,5,1,3,1,16,0.3125
frc1595,1612,6,3,0,3,16,0.375
frc1596,1638,0,0,0,0,16,0.0
frc1598,1418,1,0,0,1,16,0.0625
frc1599,1640,0,0,0,0,16,0.0
frc1600,1489,0,0,0,0,16,0.0
frc1601,1453,0,0,0,0,16,0.0
frc1610,1677,6,3,1,2,15,0.4
frc1619,1833,7,4,3,0,16,0.4375
frc1622,1539,1,1,0,0,16,0.0625
frc1625,1633,11,2,5,4,16,0.6875
frc1626,1569,3,2,0,1,16,0.1875
frc1629,1661,5,4,1,0,16,0.3125
frc1633,1379,0,0,0,0,15,0.0
frc1635,1510,1,1,0,0,15,0.06666666666666667
frc1640,1671,10,3,2,5,16,0.625
frc1646,1637,1,0,0,1,16,0.0625
frc1647,1473,0,0,0,0,16,0.0
frc1648,1585,5,2,3,0,16,0.3125
frc1649,1440,2,1,0,1,16,0.125
frc1657,1554,4,2,1,1,16,0.25
frc1658,1700,1,0,1,0,16,0.0625
frc1660,1457,0,0,0,0,16,0.0
frc1661,1473,0,0,0,0,16,0.0
frc1662,1558,5,1,1,3,16,0.3125
frc1665,1558,0,0,0,0,16,0.0
frc1671,1634,2,0,0,2,16,0.125
frc1672,1538,0,0,0,0,16,0.0
frc1675,1503,3,1,1,1,16,0.1875
frc1676,1752,11,4,3,2,16,0.6875
frc1678,1884,24,13,10,1,16,1.5
frc1683,1641,3,0,0,3,16,0.1875
frc1684,1660,2,0,1,1,16,0.125
frc1690,1825,7,1,4,2,16,0.4375
frc1699,1535,2,0,0,2,16,0.125
frc1700,1604,0,0,0,0,16,0.0
frc1701,1554,1,1,0,0,16,0.0625
frc1706,1521,2,0,1,1,16,0.125
frc1708,1621,2,0,1,0,16,0.125
frc1710,1566,4,0,3,1,15,0.26666666666666666
frc1711,1526,3,0,1,1,14,0.21428571428571427
frc1712,1679,0,0,0,0,15,0.0
frc1714,1487,3,1,1,1,15,0.2
frc1716,1385,0,0,0,0,15,0.0
frc1718,1701,5,1,2,2,15,0.3333333333333333
frc1719,1552,0,0,0,0,15,0.0
frc1720,1716,1,0,0,1,15,0.06666666666666667
frc1721,1462,0,0,0,0,15,0.0
frc1723,1538,4,0,2,1,15,0.26666666666666666
frc1726,1662,3,2,0,1,15,0.2
frc1727,1610,2,1,0,1,10,0.2
frc1729,1637,0,0,0,0,11,0.0
frc1730,1688,3,1,2,0,15,0.2
frc1731,1611,3,2,1,0,15,0.2
frc1732,1729,6,3,1,2,15,0.4
frc1735,1517,1,1,0,0,15,0.06666666666666667
frc1736,1583,2,2,0,0,15,0.13333333333333333
frc1739,1484,0,0,0,0,15,0.0
frc1740,1468,0,0,0,0,15,0.0
frc1741,1631,0,0,0,0,15,0.0
frc1743,1364,2,0,0,2,15,0.13333333333333333
frc1744,1627,1,0,0,1,8,0.125
frc1745,1483,1,0,0,1,15,0.06666666666666667
frc1746,1605,4,1,3,0,15,0.26666666666666666
frc1747,1676,5,4,1,0,15,0.3333333333333333
frc1750,1495,0,0,0,0,15,0.0
frc1751,1394,0,0,0,0,15,0.0
frc1756,1654,4,3,1,0,15,0.26666666666666666
frc1757,1420,0,0,0,0,15,0.0
frc1758,1453,1,0,0,1,15,0.06666666666666667
frc1759,1383,0,0,0,0,15,0.0
frc1761,1503,0,0,0,0,15,0.0
frc1763,1509,0,0,0,0,15,0.0
frc1764,1523,0,0,0,0,15,0.0
frc1768,1666,3,0,2,1,15,0.2
frc1769,1524,0,0,0,0,15,0.0
frc1771,1692,5,1,2,2,14,0.35714285714285715
frc1772,1660,2,1,1,0,15,0.13333333333333333
frc1775,1578,2,0,2,0,15,0.13333333333333333
frc1777,1480,0,0,0,0,15,0.0
frc1778,1609,2,0,0,1,15,0.13333333333333333
frc1781,1561,0,0,0,0,15,0.0
frc1785,1507,1,1,0,0,15,0.06666666666666667
frc1786,1456,2,0,0,2,7,0.2857142857142857
frc1787,1608,0,0,0,0,15,0.0
frc1791,1469,0,0,0,0,15,0.0
frc1792,1533,0,0,0,0,5,0.0
frc1793,1559,1,0,0,1,15,0.06666666666666667
frc1795,1453,0,0,0,0,15,0.0
frc1796,1811,8,1,4,3,15,0.5333333333333333
frc1797,1591,0,0,0,0,5,0.0
frc1799,1406,0,0,0,0,15,0.0
frc1802,1511,1,0,1,0,15,0.06666666666666667
frc1803,1428,0,0,0,0,15,0.0
